站位编号,样品编号,深度起点,深度终点,层位名称,砾石(%),砂(%),粉砂(%),黏土(%),有机质(%),含水率(%)
ST01,CORE-001,0,10,表层砂,0,75.2,20.5,4.3,1.2,28.5
ST01,CORE-001,10,28,砂质粉砂,0,45.8,42.1,12.1,1.8,35.2
ST01,CORE-001,28,55,粉砂质砂,0,58.3,32.6,9.1,2.1,32.8
ST01,CORE-001,55,78,粉砂层,0,22.5,65.8,11.7,2.8,42.3
ST01,CORE-001,78,105,粉砂质黏土,0,12.3,58.2,29.5,3.5,48.6
ST01,CORE-001,105,140,黏土层,0,5.8,32.1,62.1,4.2,55.2
ST01,CORE-001,140,165,黏土质粉砂,0,15.2,52.8,32.0,3.8,50.1
ST01,CORE-001,165,200,粉砂层,0,25.6,61.2,13.2,2.5,41.8
ST02,CORE-002,0,15,表层砂,1.2,78.5,16.8,3.5,0.8,25.3
ST02,CORE-002,15,35,砂层,0.5,82.3,14.2,3.0,0.6,24.1
ST02,CORE-002,35,62,砂质粉砂,0,52.1,38.5,9.4,1.5,33.6
ST02,CORE-002,62,95,粉砂质砂,0,48.6,41.2,10.2,1.9,36.2
ST02,CORE-002,95,130,粉砂质黏土,0,18.5,55.3,26.2,3.2,46.8
ST02,CORE-002,130,175,黏土层,0,8.2,35.6,56.2,4.8,58.3
ST02,CORE-002,175,210,有机质黏土层,0,6.5,28.4,65.1,6.2,62.5
ST02,CORE-002,210,250,黏土层,0,9.8,34.2,56.0,4.5,56.8
ST01,CORE-003,0,12,表层砂,0,72.8,22.5,4.7,1.0,27.6
ST01,CORE-003,12,30,砂质粉砂,0,48.2,40.8,11.0,1.6,34.5
ST01,CORE-003,30,58,粉砂层,0,25.3,62.1,12.6,2.6,41.2
ST01,CORE-003,58,90,粉砂质黏土,0,14.8,56.5,28.7,3.6,49.5
ST01,CORE-003,90,125,黏土层,0,7.2,30.5,62.3,4.6,57.2
ST01,CORE-003,125,160,黏土质粉砂,0,16.8,54.2,29.0,3.2,47.8
ST01,CORE-003,160,195,粉砂层,0,28.5,58.6,12.9,2.3,39.6
ST01,CORE-003,195,230,砂质粉砂,0,42.1,45.8,12.1,1.7,33.8
